idx,method,path,url,status_code,ok,latency_ms,sample
1,GET,/api/gpts/health,http://localhost:5000/api/gpts/health,200,True,11.423349380493164,"{""checks"": {""database"": ""ok"", ""okx_fetcher"": ""ok"", ""signal_generator"": ""ok"", ""smc_analyzer"": ""ok""}, ""status"": ""healthy"", ""timestamp"": 1755528810, ""uptime"": ""active""}"
2,GET,/api/gpts/status,http://localhost:5000/api/gpts/status,200,True,2615.304708480835,"{""components"": {""database"": ""available"", ""okx_api"": ""success"", ""openai"": ""available"", ""signal_generator"": ""available"", ""smc_analyzer"": ""available""}, ""status"": ""active"", ""timestamp"": 1755528813, ""version"": {""api_version"": ""2.0.0"", ""core_version"": ""1.2.3"", ""supported_symbols"": [""BTC"", ""ETH"", ""SOL"", ""ADA"", ""DOT"", ""AVAX""],..."
3,GET,/api/gpts/ticker,http://localhost:5000/api/gpts/ticker/SOL-USDT,200,True,388.43274116516113,"{""status"": ""success"", ""ticker"": {""ask_price"": 181.73, ""bid_price"": 181.72, ""change_24h"": 0.0, ""high_24h"": 195.83, ""last_price"": 181.73, ""low_24h"": 180.0, ""symbol"": ""SOL-USDT"", ""timestamp"": 1755528813017, ""volume_24h"": 1153563.650856}, ""timestamp"": 1755528813}"
4,GET,/api/gpts/orderbook,http://localhost:5000/api/gpts/orderbook/SOL-USDT,200,True,217.03648567199707,"{""orderbook"": {""asks"": [[181.73, 0.860293], [181.75, 64.333481], [181.76, 125.3077], [181.77, 316.433468], [181.78, 218.410435], [181.79, 250.466389], [181.8, 192.997827], [181.81, 263.721347], [181.82, 177.52876], [181.83, 176.88901], [181.84, 175.841028], [181.85, 352.27509], [181.86, 1114.356896], [181.87, 251.76930..."
5,POST,/api/gpts/market-data,http://localhost:5000/api/gpts/market-data,200,True,186.59162521362305,"{""data"": {""candles"": [{""close"": 181.73, ""high"": 182.48, ""low"": 180.57, ""open"": 180.57, ""timestamp"": 1755525600000, ""volume"": 41409.070257}, {""close"": 180.56, ""high"": 183.35, ""low"": 180.51, ""open"": 183.2, ""timestamp"": 1755522000000, ""volume"": 75185.762506}, {""close"": 183.19, ""high"": 183.2, ""low"": 181.11, ""open"": 181.34,..."
6,POST,/api/gpts/analysis,http://localhost:5000/api/gpts/analysis,200,True,178.64465713500977,"{""analysis"": {""price_change"": 0.5555555555555556, ""resistance"": 45800.0, ""support"": 44800.0, ""trend"": ""bullish"", ""volume"": 1250000.0}, ""status"": ""success"", ""symbol"": ""SOL-USDT"", ""timeframe"": ""4H"", ""timestamp"": 1755528814}"
7,GET,/api/gpts/sinyal/tajam,http://localhost:5000/api/gpts/sinyal/tajam?symbol=SOL-USDT&tf=1h&format=json,200,True,5.808830261230469,"{""data"": {""analysis"": {""momentum"": ""strong"", ""risk_level"": ""medium"", ""trend"": ""bullish""}, ""signal"": {""confidence"": 82.5, ""direction"": ""BUY"", ""entry_price"": 45250.0, ""reasoning"": ""Sharp signal for SOL-USDT based on SMC analysis and market structure"", ""stop_loss"": 44800.0, ""take_profit"": [46000.0, 46800.0, 47500.0]}}, ""f..."
8,GET,/api/gpts/signal,http://localhost:5000/api/gpts/signal?symbol=SOL-USDT&tf=15m,200,True,200.43396949768066,"{""signal"": {""confidence"": 50, ""current_price"": 181.73, ""data_source"": ""OKX_Authentic"", ""reasoning"": ""Market analysis with authentic OKX data"", ""resistance_level"": 183.53, ""signal"": ""neutral"", ""stop_loss"": 184.46, ""support_level"": 180.0, ""symbol"": ""SOL-USDT"", ""target_price"": 177.19, ""timeframe"": ""1H"", ""timestamp"": 17555..."
9,POST,/api/gpts/smc-zones,http://localhost:5000/api/gpts/smc-zones,200,True,3.993511199951172,"{""status"": ""success"", ""symbol"": ""SOL-USDT"", ""timeframes"": [""5m"", ""15m"", ""1h""], ""timestamp"": 1755528814, ""zones"": {""bearish_ob"": [{""price"": 45800, ""strength"": ""high"", ""tested"": false}], ""bullish_ob"": [{""price"": 44800, ""strength"": ""high"", ""tested"": false}, {""price"": 44200, ""strength"": ""medium"", ""tested"": true}], ""fvg"": [..."
10,POST,/api/gpts/smc-analysis,http://localhost:5000/api/gpts/smc-analysis,200,True,215.10910987854004,"{""smc_analysis"": {""confidence"": 1.0, ""fair_value_gaps"": [{""high"": 194.56, ""low"": 194.37, ""timestamp"": 1755226800000.0, ""type"": ""bearish""}, {""high"": 192.2, ""low"": 192.81, ""timestamp"": 1755201600000.0, ""type"": ""bullish""}, {""high"": 196.88, ""low"": 201.87, ""timestamp"": 1755172800000.0, ""type"": ""bullish""}], ""key_levels"": {""c..."
